Mapping from algorithm to int: {'recomp-inc3': 3, 'recomp-astar': 2, 'inc3': 1, 'astar': 0}

Param search space: 
{'min_samples_split': [2, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95], 'criterion': ['gini', 'entropy'], 'max_depth': [3, 4, 5, 6, 7, 8, 9]}

n_folds: 5, n_proc: 7, value_count: {0: 3826, 1: 1650, 2: 440, 3: 84}, proportion: {0: 0.6376666666666667, 1: 0.275, 2: 0.07333333333333333, 3: 0.014}, class_weight: balanced
Best parameter set found on development set

{'min_samples_split': 15, 'criterion': 'gini', 'max_depth': 4}

Grid scores on development set: 

0.311 (+/-0.050) for {'min_samples_split': 25, 'criterion': 'entropy', 'max_depth': 8}
0.308 (+/-0.049) for {'min_samples_split': 30, 'criterion': 'entropy', 'max_depth': 8}
0.307 (+/-0.052) for {'min_samples_split': 35, 'criterion': 'entropy', 'max_depth': 8}
0.306 (+/-0.052) for {'min_samples_split': 40, 'criterion': 'entropy', 'max_depth': 8}
0.307 (+/-0.053) for {'min_samples_split': 45, 'criterion': 'entropy', 'max_depth': 8}
0.305 (+/-0.052) for {'min_samples_split': 50, 'criterion': 'entropy', 'max_depth': 8}
0.304 (+/-0.052) for {'min_samples_split': 55, 'criterion': 'entropy', 'max_depth': 8}
0.306 (+/-0.054) for {'min_samples_split': 60, 'criterion': 'entropy', 'max_depth': 8}
0.301 (+/-0.048) for {'min_samples_split': 65, 'criterion': 'entropy', 'max_depth': 8}
0.301 (+/-0.048) for {'min_samples_split': 70, 'criterion': 'entropy', 'max_depth': 8}
0.301 (+/-0.048) for {'min_samples_split': 75, 'criterion': 'entropy', 'max_depth': 8}
0.296 (+/-0.048) for {'min_samples_split': 80, 'criterion': 'entropy', 'max_depth': 8}
0.298 (+/-0.050) for {'min_samples_split': 85, 'criterion': 'entropy', 'max_depth': 8}
0.298 (+/-0.052) for {'min_samples_split': 90, 'criterion': 'entropy', 'max_depth': 8}
0.297 (+/-0.051) for {'min_samples_split': 95, 'criterion': 'entropy', 'max_depth': 8}
